List,Name,Note,Categoria,Genero,Descrição
1,Dragon ball z,9.0 ⭐,Anime,Shounen,"é uma série de anime japonesa, continuação da série original Dragon Ball, que segue as aventuras de Goku na sua vida adulta enquanto ele protege a Terra de diversas ameaças intergalácticas"
2,Naruto,9.2 ⭐,Anime,Shounen,"Ele é um jovem ninja da Vila Oculta da Folha que sonha em se tornar Hokage, o líder da vila. Naruto é conhecido por sua personalidade extrovertida, sua determinação inabalável e sua capacidade de inspirar aqueles ao seu redor."
3,Avatar,8.0 ⭐,Desenho,Aventura/Fantasia,"Ele é um Nômade do Ar, o último de sua espécie, e a atual encarnação do Avatar, um espírito em forma humana com a responsabilidade de manter a paz e o equilíbrio entre as quatro nações do mundo: Água, Terra, Fogo e Ar"
4,Yu-gi-oh,8.1 ⭐,Anime,Aventura/Fantasia,"gira em torno de duelos de monstros onde os jogadores usam cartas de monstro, magia e armadilha para derrotar seus oponentes"
5,Zatch bell,7.9 ⭐,Anime,Aventura/Fantasia,"é um anime e mangá sobre um menino mamodo chamado Zatch, que chega à Terra sem memórias de seu mundo, e seu parceiro humano, Kiyo Takamine"
6,Akami ga kill,8.5 ⭐,Anime,Shounen,um jovem que viaja para a capital em busca de dinheiro para sua vila e acaba se juntando ao grupo de assassinos Night Raid para lutar contra a corrupção do império
7,Nanatsu no Taizai,7.5 ⭐,Anime,Shounen,"A história se passa em um mundo parecido com a Idade Média europeia, onde a princesa Elizabeth busca ajuda dos lendários cavaleiros conhecidos como os Sete Pecados Capitais para salvar o Reino de Liones de um golpe de estado"
8,Fullmetal Alchemist,9.5 ⭐,Anime,Shounen,que conta a história dos irmãos Edward e Alphonse Elric em busca da Pedra Filosofal para restaurar seus corpos após uma tentativa fracassada de transmutação humana
9,Shokugeki no Souma,8.0 ⭐,Anime,Shounen,"a história de Sōma Yukihira, um jovem determinado a se tornar um chef melhor que seu pai e superar seu restaurante familiar"
10,Sword Art Online,8.2 ⭐,Anime,Aventura/Fantasia,"é uma série de light novels escrita por Reki Kawahara e ilustrada por abec, que se passa em um futuro próximo com jogos de realidade virtual de MMORPG"
11,Bleach,8.0 ⭐,Anime,Shounen,"segue as aventuras de Ichigo Kurosaki, um estudante que ganha poderes de Shinigami (Ceifeiro de Almas) e passa a proteger os humanos de espíritos malignos chamados Hollows"
12,Code Geass,9.3 ⭐,Anime,Sci-fi/Action,"série de anime japonesa que se passa em um futuro alternativo onde o Sacro Império Britânico conquistou o Japão, renomeando-o como Área 11"
13,Overlord,7.8 ⭐,Anime,Isekai,"série de light novels, mangá e anime que acompanha a história de Momonga, um jogador de um jogo de realidade virtual chamado Yggdrasil que se vê preso no mundo virtual após o jogo ser desativado, junto com seus personagens não jogáveis (NPCs)"
14,Ao no Exorcist,7.2 ⭐,Anime,Mitologia/Escolar,"é uma série de mangá e anime que narra a história de Rin Okumura, um jovem que descobre ser filho de Satanás"
15,No Game No Life,9.0 ⭐,Anime,Isekai,"A história gira em torno de Rin Okumura, um jovem que descobre ser filho de Satanás e decide se tornar um exorcista para combater seu pai demoníaco"
16,Pokemon,8.4 ⭐,Anime,Aventura/Fantasia,"é uma franquia de mídia japonesa, criada por Satoshi Tajiri em 1995, centrada em criaturas fictícias chamadas ""Pokémon"""
17,Inazuma Eleven,9.0 ⭐,Anime,Sports,"é uma franquia japonesa criada pela Level-5, que engloba jogos de RPG de futebol, anime, mangá e outros produtos relacionados"
18,One Punch-Man,9.0 ⭐,Anime,Comedia,"é um mangá e anime que conta a história de Saitama, um super-herói tão poderoso que derrota seus inimigos com um único soco, o que o leva a um estado de tédio e busca por desafios"
19,Saint Seiya,8.0 ⭐,Anime,Aventura/Fantasia,"A história segue um grupo de jovens guerreiros, os Cavaleiros, que lutam em nome da deusa Atena, protegendo a Terra de ameaças divinas e malignas"
20,Digimon,7.9 ⭐,Anime,Isekai,"é uma franquia japonesa de mídia que engloba brinquedos virtuais para animais de estimação, animes, mangás, videogames e um jogo de cartas colecionáveis"
21,Death note,9.0 ⭐,Anime,Suspense/Sobrenatural,"é um mangá e anime que segue a história de Light Yagami, um estudante brilhante que encontra um caderno sobrenatural, o Death Note, que tem o poder de matar qualquer pessoa cujo nome seja escrito nele, desde que o escritor visualize mentalmente o rosto da pessoa"
22,Medaka Box,9.0 ⭐,Anime,Comedia/Action,"A história segue o Conselho Estudantil da Academia Hakoniwa, liderado por Medaka Kurokami e Zenkichi Hitoyoshi, enquanto eles enfrentam diversos desafios e aventuras para atender às sugestões dos alunos e melhorar a escola"
23,One Piece,9.5 ⭐,Anime,Shounen,"é um mangá e anime criado por Eiichiro Oda, que conta a história de Monkey D. Luffy, um jovem com poderes de borracha que busca o lendário tesouro conhecido como One Piece e pretende se tornar o Rei dos Piratas"
25,Yin Yang Yo,6.0 ⭐,Desenho,Luta,"é uma série animada que conta a história de dois jovens coelhos gêmeos, Yin e Yang, que treinam artes marciais com o Mestre Yo, um panda rabugento, para se tornarem guerreiros Woo Foo"
26,Sonic X,6.3 ⭐,Anime,Comedia/Aventura,"é um anime baseado na franquia de jogos Sonic the Hedgehog, que conta a história de Sonic e seus amigos que são transportados para a Terra após um acidente com o Doutor Eggman e suas tentativas de controlar o poder das Esmeraldas do Caos"
27,As Aventuras de Jackie Chan,7.5 ⭐,Desenho,Ação/Comedia,é uma série animada americana que segue uma versão fictícia do astro de ação Jackie Chan
28,Blue Dragon,6.9 ⭐,Anime,Aventura/Comedia,"O mangá tem como protagonista Ral, um garoto de 15 anos que passou toda a sua vida aprisionado em uma espécie de redoma, completamente privado de luz, por ter sido possuído por uma sombra logo que nasceu."
29,Rockman Gigamix,6.2 ⭐,Anime,Aventura/Sci-fi,é um mangá de Mega Man desenhado por Hitoshi Ariga e conectado com Mega Man Megamix
30,Tottoko Hamtarou,6.4 ⭐,Anime,Aventura/Comedia,"série de anime e mangá japonesa que acompanha as aventuras de um hamster chamado Hamtaro e seus amigos, os Ham-Hams, em suas travessuras e amizades, explorando o mundo por trás das gaiolas de seus donos"
31,Bakuten Shoot Beyblade,6.6 ⭐,anime,Aventura/Comedia,é uma série de anime e mangá que acompanha um grupo de garotos que competem em batalhas com piões chamados Beyblades
32,Bakugan Battle Brawlers: Gundalian Invaders,6.0 ⭐,Anime,Aventura/Fantasia,"A história foca em uma guerra entre os planetas Neathia e Gundalia, onde os ""Guerreiros da Batalha"" se envolvem em batalhas com Bakugans em um mundo interdimensional chamado InterEspaço Bakugan."
33,Cardcaptor Sakura: Clear Card-hen,6.8 ⭐,Anime,Aventura/Comedia,"é uma continuação do mangá e anime ""Cardcaptor Sakura"", focando na vida de Sakura Kinomoto no ensino médio, após os eventos da série original."
34,Astro Boy: Tetsuwan Atom,6.5 ⭐,Anime,Aventura/Sci-fi,"A história narra as aventuras de Astro, um poderoso robô com aparência e emoções humanas, criado pelo Dr. Tenma para substituir seu filho falecido, Tobio"
35,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,7.0 ⭐,Anime,Drama/Romance,"A história narra os anos finais da era Bakumatsu, focando em Kenshin Himura como Hitokiri Battōsai, e revela a origem de sua cicatriz em forma de cruz, explorando seu relacionamento com Yukishiro Tomoe"
36,American Dragon: Jake Long,6.0 ⭐,Desenho,Luta,"é uma série animada da Disney que conta a história de Jake, um adolescente que leva uma vida dupla: um jovem normal e um dragão americano com poderes mágicos, encarregado de proteger o mundo mágico escondido em Nova Iorque"
37,W.I.T.C.H.,6.2 ⭐,Desenho,Ação/Aventura,"A franquia conta a história de cinco adolescentes - Will, Irma, Taranee, Cornelia e Hay Lin - que descobrem ter poderes elementais e se tornam as Guardiãs do Véu, protegendo o mundo e a dimensão mágica de Meridian de forças malignas."
38,Fairy Tail,8.0 ⭐,Anime,Shounen,"série de anime e mangá criada por Hiro Mashima, que segue as aventuras de Lucy Heartfilia, uma jovem maga que se junta à guilda de magos Fairy Tail, e Natsu Dragneel, um mago que busca seu pai adotivo, o dragão Igneel"
39,Fate/stay night,8.5 ⭐,Anime,Ação/Aventura,"é uma visual novel e franquia de mídia japonesa que gira em torno da ""Guerra do Santo Graal"", um ritual secreto onde magos (Mestres) e seus espíritos heroicos convocados (Servos) lutam pela posse do Santo Graal, um artefato capaz de realizar qualquer desejo"
40,Mirai Nikki,7.8 ⭐,Anime,Suspense/Sobrenatural,"é um mangá e anime que acompanha a história de Yukiteru Amano, um estudante solitário que se vê envolvido em um jogo de sobrevivência mortal após ganhar um diário capaz de prever o futuro"
41,Trigun,8.1 ⭐,Anime,Aventura/Sci-fi,"conta a história de Vash The Stampede, um pistoleiro nômade que viaja de cidade em cidade e tem um passado duvidoso."
42,Shingeki no Kyojin,7.9 ⭐,Anime,Drama/Suspense,"A história se passa em um mundo onde a humanidade vive dentro de cidades protegidas por muros para se proteger de gigantes devoradores de humanos, os Titãs"
43,Boku no Hero Academia,8.0 ⭐,Anime,Escola/Super Power,"é um mangá e anime que segue a história de Izuku Midoriya, um jovem que nasce sem individualidade (poderes) em um mundo onde 80% da população possui, e seu sonho de se tornar um herói"
44,Eromanga-sensei,8.0 ⭐,Anime,Comedia,Eromanga-sensei
45,Absolute Duo,7.0 ⭐,Anime,Fantasia/Romance,"série de light novels japonesa escrita por Takumi Hiiragiboshi e ilustrada por Yū Asaba, que também foi adaptada para anime e mangá. A história se passa na Academia Koryo, onde estudantes manifestam suas almas como armas chamadas ""Blazes""."
46,Angel Beats!,7.8 ⭐,Anime,Drama/Sobrenatural,"é um anime que se passa em uma escola na vida após a morte, um tipo de limbo onde jovens que morreram com arrependimentos ou traumas lutam contra um destino injusto e tentam encontrar a paz"
47,Gamers!,8.5 ⭐,Anime,Comedia/Romance,"é um anime de comédia romântica que gira em torno de Keita Amano, um estudante do ensino médio apaixonado por jogos, que se vê envolvido em mal-entendidos e situações hilárias após ser convidado para o clube de jogos da escola por Karen Tendou, a garota mais popular."
48,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu,8.3 ⭐,Anime,Drama/Suspense,"é uma série de light novels, mangá e anime que explora um ambiente escolar único"
49,Hunter x Hunter,9.3 ⭐,Anime,Shounen,"é um mangá e anime que conta a história de Gon Freecss, um jovem que busca se tornar um Hunter, um caçador de tesouros, lugares perdidos e criaturas raras, para encontrar seu pai, um famoso Hunter que o abandonou"
50,Tokyo Ghoul,7.8 ⭐,Anime,Seinem,"série de mangá e anime que explora um mundo onde criaturas chamadas ""ghouls"" vivem entre os humanos, alimentando-se de carne humana para sobreviver"
51,Isekai wa Smartphone to Tomo ni,6.0 ⭐,Anime,Shounen,"A história segue Touya Mochizuki, um jovem que morre acidentalmente e é reencarnado em um mundo de fantasia com seu smartphone."
52,Bakuman,8.5 ⭐,Anime,Comedia/Drama,"A história segue Moritaka Mashiro e Akito Takagi, dois estudantes do ensino médio que decidem se tornar mangakás (criadores de mangá) com o objetivo de criar o melhor mangá e adaptá-lo para anime, onde a personagem principal será dublada pela paixão de Mashiro, Miho Azuki."
53,Noragami,8.2 ⭐,Anime,Ação/Fantasia,"é um mangá e anime que acompanha Yato, um deus menor e sem lar, que busca se tornar famoso e ter seu próprio santuário"
54,Gekkan Shoujo Nozaki-kun,7.0 ⭐,Anime,Comedia/Romance,"é uma série de mangá e anime de comédia romântica escrita e ilustrada por Izumi Tsubaki. A história gira em torno de Chiyo Sakura, uma estudante que se declara para seu colega de classe Umetarou Nozaki, mas ele a confunde com uma fã e lhe dá um autógrafo. Nozaki, na verdade, é um mangaká famoso que usa o pseudônimo Sakiko Yumeno e escreve mangás shoujo (para meninas)"
55,Soredemo Sekai wa Utsukushii,6.0 ⭐,Anime Fantasia,,"é um anime e mangá shoujo que conta a história de Nike, a princesa do Reino da Chuva, que possui o poder de invocar a chuva"
56,Highschool of the Dead,7.0 ⭐,Anime,Sobrevivencia,narra a história de um grupo de estudantes do ensino médio e uma enfermeira escolar durante um apocalipse zumbi no Japão.
57,Shingeki no Bahamut,7.5 ⭐,Anime,Ação/Fantasia,"é uma série de anime baseada em um jogo de cartas. A história se passa em um mundo onde deuses, demônios e humanos coexistem, e acompanha a luta para impedir a destruição causada pelo renascimento do dragão Bahamut."
58,Date A Live,6.0 ⭐,Anime,Escolar,"série de anime e light novel que conta a história de Shido Itsuka, um estudante do ensino médio que descobre que deve selar os poderes de espíritos femininos, entidades de outra dimensão que causam terremotos espaciais, ao fazer com que se apaixonem por ele"
59,Castlevania,8.0 ⭐,Animação,Drama/Fantasia,"franquia de jogos eletrônicos de ação e aventura com temática gótica e de horror, criada pela Konami."
60,Violet Evergarden,8.3 ⭐,Anime,Drama/Fantasia,"é uma série de anime que segue a história de Violet, uma jovem ex-soldado que, após a guerra, trabalha como ""Boneca de Memória Automática"" em uma agência de correio, escrevendo cartas para diversas pessoas"
61,Sousei no Onmyouji,6.5 ⭐,Anime,Fantasia,"é um anime e mangá que narra a história de Rokuro Enmado e Benio Adashino, dois jovens exorcistas unidos por uma profecia que os designa como as ""Estrelas Gêmeas"""
62,Blend S,6.5 ⭐,Anime,Comedia,é um mangá e anime japonês sobre uma garota chamada Maika Sakuranomiya que consegue um emprego em um café onde as garçonetes interpretam diferentes personas para os clientes
63,Sakurasou no Pet na Kanojo,6.0 ⭐,Anime,Comedia/Romance,"é uma série de anime e light novel que conta a história de Sorata Kanda, um estudante que é transferido para o problemático dormitório Sakura, na Universidade de Artes de Suimei, por abrigar um gato abandonado"
64,Made in Abyss,8.5 ⭐,Anime,Aventura/Fantasia,"é uma série de mangá e anime que conta a história de Riko, uma jovem exploradora que vive em Orth, uma cidade à beira de um gigantesco buraco chamado Abismo"
65,Mahou Shoujo Site,7.0 ⭐,Anime,Drama/Horror,"é um mangá e anime do gênero mahō shōjo (garota mágica) que explora temas sombrios e violentos, sendo um spin-off de Mahou Shoujo of the End."
66,Devilman: Crybaby,6.0 ⭐,Anime,Horror/Sobrenatural,"A história acompanha Akira Fudo, um rapaz sensível que se transforma em Devilman, um ser com poderes demoníacos, mas com a alma humana, após se fundir com o demônio Amon. Ele luta contra outros demônios que ameaçam a humanidade, enquanto lida com a natureza brutal e caótica do mundo."
67,Kujira no Kora wa Sajou ni Utau,6.9 ⭐,Anime,Fantasia/Misterio,é um mangá e anime que se passa em um mundo coberto por areia.
68,Sword Gai,6.3 ⭐,Anime,Sobrenatural,"é um anime que conta a história de Gai, um jovem que perdeu o braço direito durante a forja de uma espada e recebe em seu lugar a lendária espada demoníaca Shiryu, que substitui seu membro"
69,Tonari no Kaibutsu-kun,6.9 ⭐,Anime,Comedia/Romance,"é uma série de mangá e anime que narra a relação entre Shizuku Mizutani, uma estudante focada em seus estudos, e Haru Yoshida, um garoto problemático e recluso que senta perto dela na escola"
70,Granblue Fantasy,5.5 ⭐,Anime,Fantasia,"A história acompanha Gran, um jovem que sonha em alcançar a Ilha das Estrelas, e Lyria, uma garota procurada pelo Império Erste. Juntos, eles embarcam em uma aventura pelos céus, buscando escapar do império e desvendar os mistérios do pai de Gran."
71,Charlotte,6.0 ⭐,Anime,Escola/Super Power,se passa em um mundo onde uma pequena porcentagem de adolescentes desenvolve habilidades especiais após a puberdade
72,Goblin Slayer,8.6 ⭐,Anime,Drama/Fantasia,"série de fantasia sombria japonesa que segue a história de um aventureiro obcecado em eliminar todos os goblins, criaturas consideradas fracas e despretensiosas no mundo da fantasia"
73,Barakamon,7.0 ⭐,Anime,Slice of life,"é um mangá e anime que narra a história de Seishū Handa, um calígrafo profissional que, após um incidente em uma exposição, é enviado para uma ilha distante para se recuperar e encontrar seu próprio estilo"
74,Nanatsu no Bitoku,3.0 ⭐,Anime,Fantasia,"A história segue um grupo de anjos enviados do céu para encontrar um ""Salvador"" capaz de combater a influência demoníaca espalhada pelos Sete Pecados Capitais"
75,Death Parade,7.0 ⭐,Anime,Drama,"é um anime psicológico que explora o conceito de julgamento após a morte. A história segue Decim, um barman no bar Quindecim, onde almas recém-falecidas são levadas para participar de jogos de vida ou morte para determinar seu destino: reencarnação ou banimento para o vazio."
76,Tensei shitara Slime Datta Ken,8.0 ⭐,Anime,Isekai,"A história gira em torno de Satoru Mikami, um homem de 37 anos que é assassinado e reencarna em um mundo paralelo como um slime, adquirindo habilidades únicas"
77,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.9 ⭐,Anime,Drama/Romance,"Enredo. A vida do estudante Sakuta Azusagawa tem uma reviravolta inesperada quando ele conhece a atriz adolescente Mai Sakurajima, vestida como uma coelhinha erótica e vagando por uma biblioteca sem ser notada por mais ninguém além de Sakuta."
78,Rakudai Kishi no Cavalry,7.0 ⭐,Anime,Fantasia,"A história se passa em um mundo onde existem cavaleiros mágicos chamados Blazers, que podem materializar armas a partir de suas almas. O protagonista, Ikki Kurogane, é considerado um ""cavaleiro fracassado"" devido à sua falta de poder mágico, mas ele busca se tornar um grande cavaleiro."
79,Golden Boy,9.2 ⭐,Anime,comédia,é um prêmio concedido pelo jornal italiano Tuttosport ao melhor jogador de futebol sub-21 atuando na Europa
80,Btooom!,7.5 ⭐,Anime,Sci-fi,"A história segue Ryōta Sakamoto, um jovem desempregado que é um dos melhores jogadores do mundo em um jogo online chamado Btooom!. Ele é inesperadamente transportado para uma ilha e forçado a participar de uma versão real do jogo, onde deve lutar com bombas reais contra outros jogadores."
81,Hataraku Maou-sama!,8.3 ⭐,Anime,Comédia/Fantasia,"é uma série de light novel japonesa que conta a história do Rei Demônio Satanás, que, após ser derrotado pela heroína Emilia Justina, é forçado a fugir para o mundo moderno, mais especificamente Tóquio."
82,Ben-To,7.8 ⭐,Anime,Comédia,"A história gira em torno de um estudante do ensino médio, Satou You, que descobre um mundo de batalhas intensas e violentas por bento (refeições embaladas) com desconto em supermercado"
84,Mob Psycho 100,8.8 ⭐,Anime,Comédia/Supernatural,"é um anime e mangá que conta a história de Shigeo Kageyama, um garoto apelidado de ""Mob"" devido à sua falta de expressão e por ser ""apenas um figurante"" na vida"
85,Tate no Yuusha no Nariagari,8.0 ⭐,Anime,Isekai,"é um anime isekai que segue Naofumi Iwatani, um jovem que é transportado para um mundo de fantasia e se torna um dos Quatro Heróis Lendários, recebendo o escudo como sua arma"
86,Yakusoku no Neverland,8.8 ⭐,Anime,Drama/Suspense,"é um mangá e anime que narra a história de um grupo de órfãos que vivem em um orfanato aparentemente idílico, chamado Grace Field House"
87,Kimetsu no Yaiba,9.1 ⭐,Anime,Shounen,"conta a história de Tanjiro Kamado, um jovem que vive no Japão durante a era Taishō (1912-1926). A vida de Tanjiro muda drasticamente quando sua família é massacrada por demônios, e sua irmã mais nova, Nezuko, é transformada em um deles. Determinado a vingar sua família e encontrar uma cura para Nezuko, Tanjiro se torna um caçador de demônios. Ele se une ao Esquadrão de Caçadores de Demônios, enfrentando desafios e aprendendo a usar a Respiração da Água para lutar contra as criaturas malignas"
88,Black Clover,9.0 ⭐,Anime,Shounen,"acompanha a história de Asta e Yuno, dois órfãos que sonham em se tornar Rei Mago, o líder dos Cavaleiros Mágicos no Reino de Clover."
89,Dororo,7.2 ⭐,Anime,Fantasia,"série de mangá e anime, criada por Osamu Tezuka, ambientada no Japão feudal, que narra a história de Hyakkimaru, um jovem samurai que busca recuperar as partes do corpo que foram oferecidas a demônios por seu pai, e Dororo, um(a) jovem ladrão(ã) que o acompanha em sua jornada."
90,"Maou-sama, Retry!",7.0 ⭐,Anime,Isekai,"é uma light novel japonesa de fantasia, posteriormente adaptada para mangá e anime, que segue a história de Akira Ōno, um homem que é transportado para o mundo do seu jogo online favorito, ""Infinity Game"", no papel de seu personagem, o Lorde Demônio Hakuto Kunai."
91,Dr. Stone,7.9 ⭐,Anime,Comédia/Fantasia,"é um mangá e anime que conta a história de Senku Ishigami, um gênio da ciência, que após 3700 anos de petrificação, acorda em um mundo onde a humanidade foi transformada em pedra. Ele decide usar seu conhecimento para reconstruir a civilização"
92,Dumbbell Nan Kilo Moteru?,6.0 ⭐,Anime,Esporte,"é uma série de anime e mangá que acompanha a vida de Sakura Hibiki, uma estudante do ensino médio com um apetite voraz. Ao perceber que está ganhando peso, ela decide se matricular em uma academia. Lá, ela conhece Akemi, uma colega obcecada por musculação, e um treinador charmoso chamado Machio"
93,School Days,7.0 ⭐,Anime,Drama/Terror,"é um anime e visual novel que explora as complexidades de relacionamentos amorosos no ambiente escolar, com foco em um triângulo amoroso entre Makoto Itou, Kotonoha Katsura e Sekai Saionji"
94,Enen no Shouboutai,7.6 ⭐,Anime,Action/Fantasia,"é um mangá e anime que se passa em um mundo onde humanos sofrem combustão espontânea, transformando-se em seres infernais chamados ""Infernais"""
95,Amagi Brilliant Park,7.9 ⭐,Anime,Comédia/Fantasia,"é uma série de light novels e anime que acompanha Seiya Kanie, um estudante do ensino médio que é convidado a gerenciar um parque de diversões em dificuldades com o objetivo de evitar seu fechamento"
96,Domestic na Kanojo,6.6 ⭐,Anime,Drama/Romance,"é um mangá e anime que explora um triângulo amoroso complexo envolvendo um estudante chamado Natsuo e duas irmãs, Hina e Rui, com quem ele acaba morando após o casamento de seu pai."
97,5-toubun no Hanayome*,9.5 ⭐,Anime,Escolar,"é uma série de mangá e anime que segue a história de Futaro Uesugi, um estudante pobre e brilhante, que é contratado como tutor de um grupo de quíntuplas ricas e problemáticas, as irmãs Nakano"
98,Golden Time,7.0 ⭐,Anime,Drama/Romance,"série de anime e light novel que acompanha a vida de Banri Tada, um estudante universitário que perdeu suas memórias após um acidente"
99,Gakkougurashi!,7.0 ⭐,Anime,Mystery/Suspense,"é um mangá e anime japonês que mistura elementos de drama, horror e comédia, com foco em um grupo de estudantes presas em sua escola durante um apocalipse zumbi"
100,Kobayashi-san Chi no Maid Dragon,8.3 ⭐,Anime,Comédia/Fantasia,"é uma série de anime e mangá que conta a história de Kobayashi, uma programadora que, após embriagar-se e salvar uma dragão chamada Tohru, vê sua vida mudar drasticamente"
101,Vinland Saga,8.5 ⭐,Anime,Action/Fantasia,"Vinland Saga é um mangá e anime que conta a história de Thorfinn, um jovem guerreiro viking que busca vingança pela morte de seu pai, Thors, assassinado por Askeladd"
102,Hinomaruzumou,6.0 ⭐,Anime,Shounen/Luta,"é um anime e mangá de esporte que narra a história de Hinomaru Ushio, um estudante do ensino médio com baixa estatura, mas com uma paixão pelo sumô"
103,Steins;Gate,8.9 ⭐,Anime,Sci-fi,"série japonesa de ficção científica, que começou como um visual novel e foi adaptada para anime, mangá e outros meios. A história acompanha Rintarou Okabe, um autoproclamado cientista louco, e seu grupo de amigos que descobrem uma forma de enviar mensagens de texto para o passado, alterando assim o presente. Essa descoberta os leva a uma conspiração envolvendo a organização SERN, que também pesquisa viagem no tempo, e a um misterioso viajante do tempo chamado John Titor."
104,Kakegurui,7.3 ⭐,Anime,Strategy Game,"é um anime e mangá que se passa na Academia Privada Hyakkaou, uma escola de elite onde o status social é determinado por habilidades de apostas, não por desempenho acadêmico"
105,Keijo!!!!!!!!,6.2 ⭐,Anime,Sports,"é uma série de mangá e anime que segue Nozomi Kaminashi, uma ginasta que decide entrar no mundo do Keijo para ajudar sua família financeiramente."
106,Sakamoto desu ga?,8.2 ⭐,Anime,Comédia,"é uma série de mangá e anime que acompanha a vida de Sakamoto, um estudante do ensino médio conhecido por sua perfeita e inabalável coolitude, mesmo em situações absurdas."
107,Darwin's Game,8.4 ⭐,Anime,Action/Mistery,"A história gira em torno de Kaname Sudo, um estudante colegial que é atraído para um jogo móvel misterioso chamado Darwin's Game."
108,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7.0 ⭐,Anime,Comédia/Fantasia,"é uma série de light novels, mangá e anime que conta a história de Kaede Honjou, uma jovem que decide investir todos os seus pontos de atributo em defesa em um jogo de realidade virtual chamado NewWorld Online, para evitar sentir dor"
109,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,8.2 ⭐,Anime,Adventure/Fantasia,"A história de DanMachi acompanha a vida de Bell Cranel, um jovem aventureiro de 14 anos, guiado por sua deusa, Héstia. Como o único membro da Família Héstia, Bell enfrenta desafios diários explorando a Dungeon de Orario, esforçando-se para melhorar suas habilidades e sobreviver."
110,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,9.3 ⭐,Anime,Comedia/Romance,"Yahari Ore no Seishun Love Comedy Wa Machigatteiru (OreGairu) conta a história de Hikigaya Hachiman, um estudante antissocial e problemático que tem uma visão distorcida da sociedade e de tudo ao seu redor. Sua maneira pessimista de ver o mundo acaba preocupando Shizuka, sua professora e orientadora, que para resolver os seus problemas decide forçá-lo a entrar no clube de voluntários, onde para a sua surpresa só possui um membro, Yukino Yukinoshita."
111,Kenpuu Denki Berserk,8.0 ⭐,Anime,Drama/Fantasia,"conta a história de Guts, um espadachim mercenário marcado por um destino sombrio"
112,Infinite Dendrogram,6.0 ⭐,Anime,Action/Fantasia,"é um VRMMORPG (jogo de interpretação de papéis online de realidade virtual) de imersão total, lançado em 2043, que promete aos jogadores um mundo com possibilidades infinitas, onde cada um pode criar seu próprio caminho."
113,Zetman,7.0 ⭐,Anime,Seinen,"A história acompanha Jin, um jovem com poderes extraordinários, resultado de um projeto secreto chamado ZET, e sua luta para proteger aqueles que ama e entender seu próprio passado"
114,Gleipnir,7.0 ⭐,Anime,Terror/Fantasia,"um é uma corrente mágica da mitologia nórdica, e o outro é um mangá japonês de ficção científica e suspense"
