List,Name,Note,Categoria,Genero,Descrição
115,Hellsing Ultimate,7.8 ⭐,Anime,Vampire/Gore,"é uma série OVA (animação de vídeo original) que adapta o mangá Hellsing de Kouta Hirano, focando em uma narrativa mais fiel à obra original em comparação com a série de anime anterior"
116,Youjo Senki,8.5 ⭐,Anime,Isekai,"é uma série de light novels japonesa que conta a história de um ateu reencarnado em um mundo alternativo, onde magia e guerra são realidade"
117,Akashic Records of Bastard Magic Instructor,7.4 ⭐,Anime,Fantasia,"série de light novels, mangá e anime que conta a história de Glenn Radars, um instrutor temporário na Academia Imperial de Magia de Alzano"
118,The God of High School,7.0 ⭐,Anime,Fantasia,"é uma série de anime e manhwa (quadrinhos coreanos) que narra a história de Jin Mori, um jovem que se considera o mais forte do ensino médio e participa de um torneio de artes marciais chamado ""God of High School"""
119,Huan Jie Wang,7.0 ⭐,Anime/Chinês,Action/Fantasia,"No mundo onde a maioria dos humanos do continente Eudemon possui o poder Eudemon (poder espiritual), o protagonista nasce sem poder espiritual e seu sonho é ser o próximo rei Eudemon. Mas, sem nenhum poder espiritual, será que ele conseguirá realizar seu sonho? Um dia antes do exame de Tian Wu, ele cruza com uma espiã do lado Mo Wu, que havia sido derrotada na grande guerra de 10 anos atrás. Essa garota se infiltra nas forças de Tian Wu e, assim, o protagonista se vê envolvido no meio da luta entre as forças Tian Wu e Mo Wu."
120,Quan zhi gau shou,8.1 ⭐,Anime/Chinês,Slice Of life/Game,"é uma novel chinesa que conta a história de Ye Xiu, um jogador profissional de um jogo online chamado ""Glory"""
121,Dragon Quest: Dai no Daibouken,7.5 ⭐,Anime,Drama/Fantasia,"é uma série de mangá e anime que narra a história de Dai, um jovem órfão que vive em uma ilha povoada por monstros libertados do antigo Lorde das Trevas, Hadlar"
122,Jujutsu Kaisen,8.8 ⭐,Anime,Action/Fantasia,"é um anime e mangá que segue Yuji Itadori, um estudante com força física extraordinária que se envolve com o mundo das Maldições, seres sobrenaturais alimentados por emoções negativas"
123,Ultraman,6.5 ⭐,Anime,Seinen,"é um super-herói fictício criado pela Tsuburaya Productions, famoso por sua série de tokusatsu (efeitos especiais) japonesa, que começou em 1966. Ele é um gigante de luz que protege a Terra de monstros e outras ameaças"
124,Magi: The Labyrinth of Magic,9.0 ⭐,Anime,Fantasia,"é um anime e mangá de fantasia e aventura, inspirado nas histórias das Mil e Uma Noites."
125,Beastars,8.0 ⭐,Anime,Drama/Suspense,"Em um mundo onde convivem animais de todo tipo, um lobo manso começa a descobrir seus instintos predatórios justamente quando acontece um assassinato na escola."
126,Hortensia Saga,5.5 ⭐,Anime,Action/Fantasia,"série de fantasia medieval que explora temas de guerra, traição e caos, com foco no Reino de Hortensia, que foi abalado por uma rebelião e a subsequente morte do rei."
127,Hataraku Saibou Black,7.8 ⭐,Anime,Drama/Action,"é um spin-off da série ""Hataraku Saibou"" (Cells at Work!) que se passa em um corpo humano severamente comprometido por maus hábitos"
128,"Kumo desu ga, Nani ka?",7.9 ⭐,Anime,Isekai,A história segue uma turma de estudantes que morrem em uma explosão e são reencarnados em outro mundo
129,Ore dake Haireru Kakushi Dungeon,6.9 ⭐,Anime,Action/Fantasia,"é uma série de anime baseada em light novels. A história acompanha Noir, um jovem nobre que, após perder uma oferta de emprego, descobre a existência de uma lendária masmorra oculta. Esta masmorra é um local onde tesouros e itens raros são encontrados."
130,Yingxiong Zai Lin,7.0 ⭐,Anime/Chinês,Sci-fi,"Ele é descrito como um homem com cabelos pretos espetados que chegam aos ombros, geralmente presos em um rabo de cavalo"
131,Kamisama ni Natta Hi,6.7 ⭐,Anime,Drama/Fantasia,"é uma série de anime que acompanha Yota Narukami, um estudante se preparando para os exames finais, e Hina, uma jovem que se autoproclama deusa da onisciência e prevê o fim do mundo em 30 dias"
132,Kami no Tou,8.0 ⭐,Anime,Action/Fantasia,"A história segue Bam, um garoto que entra na Torre para reencontrar sua amiga Rachel, que partiu para alcançar seus sonhos no topo."
133,Tengen Toppa Gurren Lagann,8.0 ⭐,Anime,Adventure/Fantasia,"Tengen Toppa Gurren Lagann é um anime japonês de 2007 que conta a história de Simon e Kamina, dois jovens que vivem em um mundo subterrâneo e sonham em conhecer a superfície."
134,Kaifuku Jutsushi no Yarinaoshi,6.0 ⭐,Anime,Fantasia,"é uma série de anime que conta a história de Keyaru, um curandeiro explorado e abusado por seus companheiros devido à natureza de sua classe"
135,Gokushufudou,7.5 ⭐,Anime,Gag Humor,"é um mangá e anime que conta a história de Tatsu, um lendário ex-membro da yakuza conhecido como ""o Dragão Imortal"", que abandona sua vida criminosa para se tornar um dono de casa em tempo integral."
136,Edens Zero,7.4 ⭐,Anime,Action/Fantasia,"série de mangá e anime de fantasia científica criada por Hiro Mashima, conhecido por Fairy Tail e Rave Master"
137,86,8.5 ⭐,Anime,Action/Fantasia,é um anime de ficção científica que se passa em um mundo onde a República de San Magnolia trava uma guerra contra o Império Giadian usando drones autônomos chamados Juggernauts.
138,Baki,7.0 ⭐,Anime,Combat,"Baki Hanma é o protagonista da série de anime e mangá ""Baki the Grappler"". Ele é um jovem lutador com o objetivo de superar seu pai, Yujiro Hanma, considerado o ser vivo mais forte do mund"
139,B: The Beginning,7.0 ⭐,Anime,Action/Suspense,"A história se passa em um mundo futurista chamado Cremona, onde avanços tecnológicos são comuns."
140,Yasuke,5.9 ⭐,Anime,Drama/Fantasia,"foi um samurai africano que serviu Oda Nobunaga, um poderoso senhor feudal japonês do século XVI"
141,Mahoutsukai no Yome,8.0 ⭐,Anime,Drama/Fantasia,"é uma série de mangá e anime que conta a história de Chise Hatori, uma jovem que é comprada em leilão por um mago chamado Elias Ainsworth"
142,Kiseijuu: Sei no Kakuritsu,7.9 ⭐,Anime,Supernatural,"A história gira em torno de Shinichi Izumi, um estudante do ensino médio que tem sua mão direita invadida por um parasita alienígena chamado Migi"
143,JoJo no Kimyou na Bouken,7.8 ⭐,Anime,Shounen,"A história segue a saga da família Joestar, cujos membros possuem destinos entrelaçados com a luta contra forças sobrenaturais, utilizando poderes únicos e distintos ao longo das várias partes da história"
144,Xian Wang de Richang Shenghuo,8.8 ⭐,Anime/Chinês,Comédia/Fantasia,"série chinesa de animação, donghua, baseada em um romance e manhua com o mesmo nome. A história acompanha Wang Ling, um jovem com poderes imortais, que busca levar uma vida normal no ensino médio, apesar de suas habilidades extraordinárias."
145,Saiki Kusuo no Ψ-nan,9.0 ⭐,Anime,Comédia/Supernatural,"é uma série de mangá e anime que acompanha Kusuo Saiki, um estudante do ensino médio com poderes psíquicos, que tenta levar uma vida normal, evitando ao máximo usar suas habilidades"
146,Cike Wu Liuqi,9.1 ⭐,Anime/Chinês,Comédia/Fantasia,"é uma série de animação chinesa que conta a história de um barbeiro com amnésia que, em busca de dinheiro para tratar sua condição, se torna um assassino de aluguel. Ele usa uma tesoura como arma principal e tem como ajudante uma galinha falante chamada Dai Bo"
147,Shuumatsu no Walküre,7.0 ⭐,Anime,Drama/Fantasia,"é um mangá japonês que narra a batalha entre deuses e humanos em um torneio chamado Ragnarök, onde o destino da humanidade está em jogo"
148,Megalo Box,7.2 ⭐,Anime,Sports/Combat,"é um anime de boxe futurista, inspirado no clássico ""Ashita no Joe"", onde lutadores usam exoesqueletos para aprimorar seus golpes"
149,Re:Zero kara Hajimeru Isekai Seikatsu,9.0 ⭐,Anime,Isekai,"é uma série de anime e light novel que narra a história de Subaru Natsuki, um jovem que é transportado para um mundo de fantasia onde ganha a habilidade de ""Retorno pela Morte"" após ser assassinado"
150,Mushoku Tensei: Isekai Ittara Honki Dasu,9.1 ⭐,Anime,Isekai,"é uma série de light novel japonesa de Rifujin na Magonote sobre um homem desempregado e desesperado que reencarna em um mundo de fantasia enquanto guarda suas memórias, determinado a viver sua nova vida sem arrependimentos."
151,Platinum End,5.0 ⭐,Anime,Drama/Fantasia,"é um mangá e anime japonês que conta a história de Mirai Kakehashi, um jovem que, após tentar suicídio, é resgatado por um anjo chamado Nasse"
152,Super Crooks,7.5 ⭐,Anime,Drama/Fantasia,A série acompanha um grupo de supervilões liderados por Johnny Bolt que planejam um último grande assalto para se aposentar
153,Kono Subarashii Sekai ni Shukufuku o!,8.9 ⭐,Anime,Isekai,"é uma série de light novels, anime e mangá que narra a história de Kazuma Satou, um hikikomori que morre e é reencarnado em um mundo de fantasia com elementos de MMORPG."
154,Aggressive Retsuko,8.0 ⭐,Anime,Comédia,"é uma série de anime japonesa criada pela Sanrio, focada em uma panda vermelha de 25 anos chamada Retsuko, que trabalha em um escritório e lida com o estresse diário através do death metal"
155,Great Pretender,7.1 ⭐,Anime,Action/Fantasia,"é um anime que conta a história de Makoto Edamura, um vigarista japonês que se considera o ""maior do Japão"", mas que acaba se envolvendo em golpes muito maiores liderados por Laurent Thierry, um vigarista internacional"
156,"Yuusha, Yamemasu: Tsugi no Shokuba wa Maoujou",6.9 ⭐,Anime,Action/Fantasia,"é um anime que conta a história de Leo Demonheart, um herói que salvou o mundo, mas que se tornou indesejado pelos humanos devido à sua grande força. Desiludido, ele decide se juntar ao exército do Rei Demônio, seu antigo inimigo, para reconstruí-lo."
157,Spy x Family,9.0 ⭐,Anime,Action/Comedy,"é um anime e mangá que narra a história de um espião chamado Twilight, que precisa formar uma família falsa para cumprir uma missão. Ele adota Anya, uma menina telepata, e se casa com Yor, uma assassina, sem que nenhum deles saiba dos segredos dos outros. A série combina ação, comédia e momentos familiares, explorando a dinâmica entre os personagens enquanto eles tentam manter suas identidades secretas e garantir a paz mundial"
158,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",6.5 ⭐,Anime,Isekai,"é uma série de light novel japonesa que conta a história de Yuji Sano, um funcionário que é convocado para outro mundo. No novo mundo, ele se torna um domador de monstros, mas com a ajuda de slimes mágicos, ele acaba ganhando uma segunda profissão, se tornando um sábio e adquirindo um poder avassalado"
159,Bastard!! Ankoku no Hakaishin,6.0 ⭐,Anime,Action/Fantasia,"série de mangá japonesa de fantasia sombria e pós-apocalíptica, criada por Kazushi Hagiwara, que também inspirou uma série de anime."
160,Tensei shitara Ken deshita,7.9 ⭐,Anime,Isekai,é um anime/manga/novel de fantasia isekai que conta a história de um homem que morre e reencarna em outro mundo como uma espada senciente
161,Tokyo Revengers,8.5 ⭐,Anime,Drama/Supernatural,"conta a história de Takemichi Hanagaki, um homem de 26 anos que descobre que sua ex-namorada, Hinata Tachibana, foi assassinada por uma gangue chamada Tokyo Manji"
162,Blue Lock,7.3 ⭐,Anime,Sports,"é um mangá e anime que narra a história de Yoichi Isagi, um estudante do ensino médio que busca se tornar o melhor atacante do mundo, após uma derrota humilhante do Japão na Copa do Mundo de 2018"
163,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",7.0 ⭐,Anime,Isekai,"Ao longo de sua vida, Yuuya Tenjou foi alvo de ressentimento e desprezo de todos ao seu redor, até mesmo de seus pais. Para piorar a situação, seu avô — a única pessoa que lhe demonstrou afeição — morre repentinamente, deixando Yuuya verdadeiramente sozinho."
164,Mashle,7.2 ⭐,Anime,Shounen,"A história se passa em um mundo onde a magia é onipresente e define o status social. Mash Burnedead, o protagonista, nasceu sem magia, mas compensa com força física e músculos. Ele entra em uma escola de magia para proteger seu segredo e viver em paz, enfrentando desafios no mundo mágico com sua força bruta."
165,Isekai Meikyuu de Harem wo,6.2 ⭐,Anime,Isekai,"é um anime e mangá que segue a história de Michio Kaga, um estudante que, após criar um personagem em um site misterioso, é transportado para um mundo de fantasia semelhante a um jogo."
166,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",6.0 ⭐,Anime,Drama/Fantasia,"sekai de Ikinokoru Tame ni Ayumu Michi"" é uma light novel japonesa que conta a história de um assalariado que morre e é reencarnado em outro mundo. O enredo gira em torno de como esse homem, agora com novas habilidades, irá sobreviver e prosperar nesse novo ambiente, com a premissa de que nem o Deus que o enviou, nem o autor, sabem como será seu futuro."
167,Kikansha no Mahou wa Tokubetsu desu,7.8 ⭐,Anime,Fantasia,", é um web novel e webtoon sul-coreano, adaptado para anime, sobre um mago chamado Desir Herman que retorna no tempo para salvar o mundo de uma invasão demoníaca. Após o fracasso de sua última batalha contra o Reino das Sombras, Desir acorda 13 anos no passado, no início de seus dias de escola."
168,Boushoku no Berserk,7.0 ⭐,Anime,Action/Fantasia,"é um anime e light novel que narra a história de Fate Graphite, um jovem amaldiçoado com a habilidade ""Gula"". Essa habilidade, um Pecado Mortal, permite que ele absorva habilidades e atributos de seres vivos ao consumir suas almas, mas em troca, ele sofre de uma fome insaciável."
169,Toaru Ossan no VRMMO Katsudouki,7.1 ⭐,Anime,Fantasia,"é um anime e mangá sobre um homem de 38 anos chamado Taichi Tanaka, que joga o VRMMO ""One More Free Life Online"" com o avatar ""Earth"". Em vez de focar em combate ou missões épicas, Taichi escolhe dominar habilidades consideradas inúteis no jogo, como preparar poções complicadas, cozinhar comidas gourmet e usar armas bizarras."
170,Sousou no Frieren,9.4 ⭐,Anime,Action/Fantasia,"é uma série de mangá e anime que se destaca por sua narrativa pós-batalha, explorando a passagem do tempo e as relações humanas sob a perspectiva de uma elfa imortal, Frieren."
171,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",8.5 ⭐,Anime,Action/Fantasia,"um anime e mangá que acompanha a história de Rakuro Hizutome, um jogador que adora jogos ""ruins"" (kusoge) e que decide se aventurar no popular jogo de realidade virtual, Shangri-La Frontier, com o objetivo de dominá-lo."
172,A Returner's Magic Should Be Special,8.1 ⭐,Anime,Action/Fantasia,"é uma série de anime e mangá que conta a história de Desir Herrman, um mago que, após a derrota para o Reino das Sombras, retorna 13 anos no passado, para o início de seus dias de escola. Munido do conhecimento do futuro, ele busca alterar o curso da história e salvar o mundo."
173,Romantic Killer,8.2 ⭐,Anime,Comedia/Romance,"é uma série de anime da Netflix que combina comédia e romance, focando em Anzu Hoshino, uma estudante que de repente se vê envolvida em um projeto mágico que visa fazê-la encontrar o amor, apesar de sua aversão a relacionamentos românticos."
174,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,8.2 ⭐,Anime,Fantasia,"""Este herói é cauteloso demais para mim"") é uma série japonesa de light novel escrita por Light Tuchihi e ilustrada por Saori Toyota.[2] Começou a ser publicada online em junho de 2016 no site de publicação de novels da Kadokawa, Kakuyomu."
175,Dungeon Meshi,7.1 ⭐,Anime,Action/Fantasia,"é um mangá e anime de fantasia e comédia que acompanha um grupo de aventureiros em uma masmorra. Após a irmã de um dos membros ser devorada por um dragão, eles precisam aprender a sobreviver cozinhando e comendo os monstros que encontram, com a ajuda de um experiente cozinheiro anão."
176,Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,7.0 ⭐,Anime,Isekai,"Ken Usato é um estudante comum que, ao voltar para casa em um dia chuvoso, é transportado para outro mundo junto com Suzune e Kazuki. Lá, eles são reconhecidos como heróis destinados a lutar contra o exército do Rei Demônio."
177,Saikyou Tank no Meikyuu Kouryaku,6.5 ⭐,Anime,Action/Fantasia,"A história foca em Rud, um tanque com uma rara habilidade de defesa de 9999, que é expulso do grupo de heróis. Ele entra em labirintos para encontrar um tesouro que realiza desejos e curar sua irmã doente. A série foi adaptada para mangá e anime"
178,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,7.1 ⭐,Anime,Isekai,"O início de Light Magic and the Hero, um RPG otome, se desenrola de forma bastante normal: a heroína, Alicia Ehnleit, encontra seus três interesses amorosos um após o outro e, inevitavelmente, fica cara a cara com a vilã. Yumiella Dolkness pode ser de ascendência nobre, mas seus cabelos escuros e sua rara magia do tipo escuro — ambos associados ao Lorde Demônio — despertam medo em qualquer um que a veja. Aos cinco anos de idade, Yumiella recupera memórias de sua vida passada no Japão moderno, percebendo também que seu destino é se tornar a chefe oculta que aparece após Alicia e seus pretendentes derrotarem o Lorde Demônio."
179,Sentai Daishikkaku,7.9 ⭐,Anime,Super Power,"é um anime que subverte o gênero tokusatsu, especialmente a franquia Power Rangers, imaginando um mundo onde os heróis são os verdadeiros vilões. A história acompanha D, um monstro que se infiltra na equipe de heróis, os Dragon Keepers, com o objetivo de derrubá-los, pois eles forçam os monstros a encenar derrotas humilhantes para o público."
180,Kaijuu 8-gou,8.8 ⭐,Anime,Action/Sci-fi,"A história acompanha Kafka Hibino, um homem que, após um encontro com um kaiju (monstro gigante), adquire a habilidade de se transformar em um monstro também. Ele se junta à Força de Defesa do Japão para combater outros kaijus, buscando realizar seu sonho de infância e proteger a humanidade."
181,Re:Monster,6.9 ⭐,Anime,Isekai,"é um anime que conta a história de Tomokui Kanata, que morre e reencarna em outro mundo como um humilde goblin chamado Gobrou (ou Rou)."
182,Isekai Quartet,8.8 ⭐,Anime,Isekai,"série de anime que mistura os universos de quatro light novels/animes diferentes: KonoSuba, Overlord, Re:Zero e The Saga of Tanya the Evil."
183,"Jitsu wa Ore, Saikyou deshita?",6.8 ⭐,Anime,Isekai,"é uma light novel e anime que conta a história de Haruto, um NEET (nem-nem: nem estuda, nem trabalha) que é reencarnado em outro mundo como um príncipe com um poder mágico imenso, mas que é considerado fraco devido a um erro de medição."
184,Hitori no shita,6.0 ⭐,Anime,Shounen,"é uma série de anime que segue a história de Cho Soran, um estudante universitário que, após um encontro com zumbis em um cemitério, é salvo por uma misteriosa garota com uma espada, Feng Baobao. A partir desse incidente, a vida de Soran muda drasticamente quando ele descobre que possui uma técnica de artes marciais chamada Kitaigen, que é cobiçada por várias organizações."
185,Isekai Suicide Squad,7.5 ⭐,Anime,Isekai,"""Esquadrão Suicida: Isekai"" é uma série de anime da DC Comics que combina o universo do Esquadrão Suicida com o gênero Isekai."
186,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru",7.9 ⭐,Anime,Shounen/comedia,"Determinado a perseguir seus gloriosos sonhos de infância, Rick Gladiatol, um modesto funcionário da guilda dos aventureiros, de 30 anos, recebe uma oportunidade única após encontrar, por acaso, a elfa negra Reanette Elfelt. Reanette é uma aventureira de elite do lendário grupo Punho de Oricalco, cujos membros acolhem Rick sob a condição de que ele siga um treinamento espartano."
187,Maougun Saikyou no Majutsushi wa Ningen datta,7.0 ⭐,Anime,Fantasia/Isekai,"é uma série de novelas japonesas, posteriormente adaptada para mangá e anime, que conta a história de Ike, um mago poderoso do exército do rei demônio que esconde o fato de ser humano. Ele busca a coexistência entre demônios e humanos, liderando o exército demoníaco enquanto mantém sua verdadeira identidade em segredo"
188,Dandadan,8.9 ⭐,Anime,Supernatural,"é um mangá e anime japonês criado por Yukinobu Tatsu, que acompanha a história de Momo Ayase, uma estudante que acredita em fantasmas, e seu colega, Ken Takakura (apelidado de Okarun), obcecado por alienígenas. Eles embarcam em uma aventura para provar um ao outro a existência de suas crenças, enfrentando yōkai e alienígenas com a ajuda de aliados sobrenaturais."
189,Tsue to Tsurugi no Wistoria,8.2 ⭐,Anime,Aventura,"é um anime e mangá de fantasia e aventura que se passa em um mundo onde a magia é onipresente. A história segue Will Serfort, um jovem que sonha em se tornar um poderoso mago, mas que possui uma notável incapacidade de usar magia."
190,"Sayounara Ryuusei, Konnichiwa Jinsei",8.2 ⭐,Anime,Isekai-Aventura,"é uma light novel japonesa que conta a história de um dragão poderoso que, após sua morte, reencarna como um humano chamado Dolan em uma vila pacata."
191,"Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki",7.0 ⭐,Anime,Isekai-Aventura,"Durante sua juventude, o curandeiro inexperiente Laust foi explorado por aventureiros inescrupulosos. Apesar dos intensos esforços para se aprimorar, Laust é enganado pelos membros das Lâminas do Relâmpago — o primeiro grupo ao qual se junta após concluir seu treinamento — e acaba banido por seu líder, Margulus."
192,Hyouken no Majutsushi ga Sekai wo Suberu,6.6 ⭐,Anime,Aventura,"é uma light novel e anime que conta a história de Ray White, o poderoso mago da lâmina de gelo. Após uma guerra sangrenta, Ray se matricula na Academia Arnold, buscando uma vida normal e escondendo sua verdadeira identidade. Ele se junta a um grupo de amigos e logo se vê envolvido em uma conspiração dentro da escola, onde precisa usar seu poder para proteger aqueles que ama e desvendar os mistérios que a assombram."
193,Hazure Skill Kinomi Master: Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken ni Tsuite,6.0 ⭐,Anime,Aventura,"Light obteve uma habilidade falsa conhecida como ""Mestre das Frutas"", uma habilidade especializada no cultivo de frutas. Sobrecarregado pela enorme diferença entre ele e seu amigo de infância, que se tornou um aventureiro de Rank S, ele passa os dias trabalhando na fazenda e praticando sua esgrima. No entanto, um dia, ele acidentalmente come uma segunda fruta de habilidade, o que normalmente resulta em morte... mas ele não só sobrevive milagrosamente, como descobre que sua habilidade falsa, na verdade, contém uma habilidade secret"
194,"Botsuraku Yotei no Kizoku dakedo, Hima Datta kara Mahou wo Kiwametemita",7.0 ⭐,Anime,Aventura,"é uma light novel japonesa, adaptada para anime, que conta a história de um homem que se encontra no corpo de Liam, um jovem nobre de um mundo diferente, após sua morte. Liam, antes um homem comum que desfrutava de sua bebida, agora tem a oportunidade de aprender magia, algo que sempre quis, e decide se tornar um aventureiro para ganhar independência de sua família, que está prestes a cair em ruínas."
196,"Fuguushoku ""Kanteishi"" ga Jitsu wa Saikyou Datta",6.5 ⭐,Anime,Aventura,"é uma light novel japonesa que conta a história de Ein, um jovem que nasce com a classe ""Avaliador"", considerada fraca e inútil no mundo onde habilidades são dadas por Deus ao nascer."
197,Sentai Red Isekai de Boukensha ni Naru,6.3 ⭐,Anime,Isekai/Aventura,"é um mangá e anime que mistura os gêneros de Super Sentai (tokusatsu) e Isekai. A história segue Tougo Asagaki, o Ranger Vermelho de um grupo de heróis, que após um sacrifício em batalha contra uma organização maligna, é transportado para um mundo diferente"
198,Sakamoto Days,8.5 ⭐,Anime,Aventura,"A história acompanha Taro Sakamoto, um lendário assassino aposentado que agora leva uma vida tranquila como dono de uma loja de conveniência e pai de família. No entanto, seu passado como assassino o alcança, e ele precisa proteger sua família e amigos enquanto mantém sua nova vida pacífica."
199,Maou 2099,8.0 ⭐,Anime,Isekai,"é uma série de anime baseada em uma light novel japonesa escrita por Daigo Murasaki e ilustrada por Kureta. A história gira em torno de Veltol, um antigo Rei Demônio que desperta em Shinjuku no ano de 2099, um mundo cyberpunk onde magia e tecnologia se misturam."
200,"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru?",7.0 ⭐,Anime,Ação,"é uma light novel e adaptação em mangá de Main, que conta a história de Renya Kunugi, um homem que, após sua morte, é enviado para um mundo de fantasia por uma deusa para uma segunda vida. Na nova vida, ele renasce como Arthur, um bebê, e desfruta de alegrias que nunca conheceu em sua vida anterior, cercado por uma família amorosa."
201,Tu Bian Yingxiong X,9.0 ⭐ ,Anime,Ação,"é uma série de animação chinesa que explora o conceito de heróis em um mundo onde a confiança pública concede poderes. A série, conhecida por sua mistura de humor, ação e drama, foca em como a fé das pessoas em um herói determina suas habilidades e classificação. ""X"" é o título dado ao herói mais confiável, mas o sistema por trás dessa confiança é permeado por conspirações e manipulações."
202,"Kanchigai no Atelier Meister: Eiyuu Party no Moto Zatsuyougakari ga, Jitsu wa Sentou Igai ga SSS Rank Datta to Iu Yoku Aru Hanashi",6.5 ⭐,Anime,Aventura,"Apesar de não ter nenhum talento real para combate, o gentil Kurt Rockhans, de 15 anos, pertence ao famoso grupo Flaming Dragon Fang. Ele está perfeitamente satisfeito como ajudante do grupo — até que os outros membros o expulsam e o substituem por um aliado mais forte. Sem meios de se sustentar, Kurt começa a procurar emprego."
203,Murenase! Seton Gakuen,6.5 ⭐,Anime,echi,"é uma comédia escolar que se passa em uma academia onde todos os alunos são animais, exceto por um humano chamado Jin Mazama, que odeia animais. Ele se apaixona por Hitomi Hino, a única outra humana na escola, e acaba se envolvendo em diversas aventuras quando se junta ao bando da loba Ranka Ookami."
204,Ranma 1/2,8.0 ⭐,Anime,Comédia/Romântica,"é uma série de anime e mangá criada por Rumiko Takahashi, centrada em Ranma Saotome, um jovem artista marcial que, após cair em uma fonte amaldiçoada na China, transforma-se em mulher quando molhado com água fria."
205,Lazarus,7.0 ⭐,Anime,Mistério,"A história gira em torno de uma equipe de agentes especiais reunida para encontrar um cientista renomado que desenvolveu uma droga chamada Hapuna, que parece ser uma cura milagrosa, mas na verdade é um veneno mortal que mata em três anos"
206,Guimi Zhi Zhu: Xiaochou Pian (Lord of Mistery),8.0 ⭐,Anime,Mistério,"Em um mundo vitoriano de vapor, dreadnoughts e horrores ocultos, Zhou Mingrui desperta como Klein Moretti. Ele caminha no fio da navalha entre a luz e a escuridão, enredado em Igrejas em guerra. Esta é a lenda do potencial ilimitado... e do perigo indizível."
207,Gachiakuta,8,Anime,sobrenatural,anime novo
208,Mizu Zokusei no Mahoutsukai  (The Water Magician),8,Anime,Aventura,anime novo
